CapHitB_fl1_83 || 188.735 128.8 93.2199 -34.8143 5.07447 27.1617
CapHitB_fl1_84 || 133.493 42.3615 57.6146 -32.9106 32.6176 -19.093
CapHitB_fl1_86 || 314.112 263.205 79.5771 -36.4279 32.6836 -13.9421
CapHitB_fl1_87 || 262.582 268.27 94.2026 -5.12255 37.5835 -3.72306
CapHitB_fl1_88 || 269.746 283.956 24.7519 -31.3004 28.7746 -18.3591
CapHitB_fl1_89 || 287.367 339.07 40.7891 -37.56 7.62953 -23.6979
CapHitB_fl1_90 || 352.128 327.41 105.723 -26.6661 23.8016 -25.4254
CapHitB_fl1_91 || 357.303 359.658 139.481 -14.4382 32.8433 -19.3859
CapHitB_fl1_92 || 284.324 246.669 109.579 -22.5672 39.2402 -10.7119
CapHitB_fl1_93 || 51.7921 128.507 17.2179 -31.5157 38.3626 0.949505
CapHitB_fl1_94 || 124.847 88.3467 39.5562 -37.0143 29.3007 -5.22572
CapHitB_fl1_95 || 291.201 294.771 77.2166 -19.8959 32.4199 -21.3491
CapHitB_fl1_96 || 44.3161 61.7654 25.7246 -0.490013 30.1831 -11.6835
CapHitB_fl1_97 || 100.182 68.336 61.6506 -21.1316 38.7718 -9.95719
CapHitB_fl1_99 || 326.073 286.09 34.4581 -40.3524 15.4479 -18.8577
CapHitB_fl1_102 || 247.376 115.914 100.284 -30.7423 0.381716 27.7565
CapHitB_fl1_103 || 134.371 57.5655 50.315 -41.1655 25.8642 -9.60822
CapHitB_fl1_104 || 63.5358 277.573 72.2646 -31.9553 -0.567057 -18.4814
CapHitB_fl1_105 || 35.3158 24.7085 89.3492 -6.27499 31.307 -20.0236
CapHitB_fl1_106 || 19.9521 282.881 167.514 -48.9381 18.3403 0.686934
CapHitB_fl1_107 || 43.8297 82.9646 51.4693 -14.6539 33.5548 -2.14253
CapHitB_fl1_108 || 123.958 17.7286 64.3579 -24.5808 29.5221 -28.0545
CapHitB_fl1_109 || 21.7535 121.261 54.813 -18.422 27.5698 3.23565
CapHitB_fl1_110 || 133.183 14.6084 169.49 -43.7449 17.2055 5.76568
CapHitB_fl1_111 || 122.214 31.8347 63.6129 -27.4688 33.2162 -22.3884
CapHitB_fl1_112 || 251.286 21.4954 29.5743 -42.7568 -1.76516 -17.6089
CapHitB_fl1_113 || 54.7832 349.152 144.921 -37.6361 21.468 -21.8883
CapHitB_fl1_114 || 186.404 132.811 121.567 -32.1519 30.3877 18.2781
CapHitB_fl1_115 || 252.877 189.694 117.559 -25.83 24.7994 25.4551
CapHitB_fl1_116 || 0.899173 337.219 74.0643 -20.0143 7.92373 -32.4778
CapHitB_fl1_117 || 223.975 321.152 72.4731 -15.1096 17.151 -32.9193
CapHitB_fl1_118 || 173.176 148.359 91.9686 -26.6353 16.5703 26.9404
CapHitB_fl1_119 || 28.4381 169.53 15.9238 -37.4953 27.7557 -5.84469
CapHitB_fl1_121 || 92.5384 110.547 56.1543 -29.4293 32.0417 1.30423
CapHitB_fl1_123 || 71.2715 26.01 61.7765 -9.66148 25.7502 -23.6612
CapHitB_fl1_124 || 135.869 41.5001 92.0672 -41.2726 23.1057 -16.1379
CapHitB_fl1_125 || 182.429 351.431 32.4958 -30.5491 30.0314 -20.8653
CapHitB_fl1_129 || 148.972 309.042 49.8596 5.39674 17.1796 -27.5067
CapHitB_fl1_131 || 99.6964 48.7367 137.155 -32.7865 37.0431 2.9905
CapHitB_fl1_132 || 31.4494 285.345 126.156 -45.1213 16.0597 -13.8675
CapHitB_fl1_133 || 77.3472 27.4711 77.8879 -18.9401 30.8634 -20.7188
CapHitB_fl1_134 || 19.3261 239.818 56.4576 -42.4583 12.8037 -8.78813
CapHitB_fl1_135 || 83.4665 7.59359 101.304 -24.2446 30.2414 -26.1574
CapHitB_fl1_136 || 334.648 275.749 53.3198 -45.941 19.0337 -12.0444
CapHitB_fl1_137 || 130.368 24.4229 93.0807 -36.361 24.5194 -25.411
CapHitB_fl1_138 || 63.45 359.38 97.5545 -20.6909 27.7714 -26.8984
CapHitB_fl1_140 || 30.7732 356.551 98.6542 -17.2618 27.0196 -21.7741
CapHitB_fl1_141 || 0.476226 282.807 103.224 -35.9754 24.7006 -16.6031
CapHitB_fl1_143 || 36.5623 10.887 108.05 -15.4676 33.8382 -21.3298
CapHitB_fl1_144 || 86.8429 27.3622 128.203 -32.4341 35.7644 -15.3385
CapHitB_fl1_147 || 305.492 207.336 116.288 -40.95 24.1488 8.45397
CapHitB_fl1_148 || 91.8135 13.4505 65.1265 -22.7542 25.3125 -12.0788
CapHitB_fl1_149 || 147.937 75.5164 103.48 -42.1519 31.2329 -0.750352
CapHitB_fl1_150 || 108.412 21.2513 61.7594 -24.3963 26.8464 -22.5081
CapHitB_fl1_151 || 119.777 83.2362 45.1808 -34.7399 32.856 -6.94859
CapHitB_fl1_152 || 9.90607 150.563 74.4016 -21.9213 27.1778 16.7559
CapHitB_fl1_153 || 133.133 96.0509 95.2722 -41.4786 27.8704 11.803
CapHitB_fl1_155 || 324.201 193.199 83.0534 -30.7142 30.8079 12.311
CapHitB_fl1_157 || 124.265 37.0112 48.7373 -32.5849 27.696 -13.5701
CapHitB_fl1_158 || 72.6168 31.5992 77.0456 -18.1946 30.8903 -19.1344
CapHitB_fl1_159 || 82.2467 145.369 20.6377 -45.0466 19.0531 -1.66196
CapHitB_fl1_160 || 66.9503 9.57873 99.3822 -23.2387 29.8093 -22.2338
CapHitB_fl1_161 || 106.711 98.1132 44.0801 -40.2856 18.1913 -0.925658
CapHitB_fl1_162 || 324.113 228.737 98.2948 -38.4313 32.5705 -0.141233
CapHitB_fl1_163 || 344.32 237.736 56.0355 -40.2062 22.6185 -8.70591
CapHitB_fl1_165 || 68.7775 43.0918 126.344 -24.2568 31.0164 -15.956
CapHitB_fl1_168 || 52.1836 33.152 108.199 -17.1418 35.5479 -16.3982
CapHitB_fl1_169 || 358.313 253.648 100.187 -40.3637 23.1425 -10.236
CapHitB_fl1_170 || 118.562 25.7174 103.55 -38.4027 26.6281 -17.4286
CapHitB_fl1_171 || 177.627 356.424 55.7149 -29.7274 18.7473 -28.0901
CapHitB_fl1_174 || 44.5255 210.258 50.3742 -42.2266 7.78643 -1.63173
CapHitB_fl1_176 || 29.7462 177.126 70.6188 -26.6656 22.6629 24.0139
CapHitB_fl1_177 || 44.9753 227.587 15.5073 -43.227 -1.15475 -9.56579
CapHitB_fl1_178 || 59.8558 262.202 57.9205 -33.1023 -4.2897 -13.5943
CapHitB_fl1_179 || 287.719 255.993 40.2563 -23.5048 31.7084 -15.6227
CapHitB_fl1_180 || 312.839 267.468 57.1377 -29.8517 28.3996 -18.74
CapHitB_fl1_181 || 61.3449 272.342 83.0794 -33.7612 -6.7544 -20.6064
CapHitB_fl1_183 || 285.806 264.501 154.121 -15.3171 44.1077 -3.99727
CapHitB_fl1_184 || 344.08 311.362 94.4069 -23.8675 26.1132 -25.2738
CapHitB_fl1_185 || 339.06 238.391 28.1979 -43.5734 24.9611 -8.08513
CapHitB_fl1_186 || 50.5155 300.561 108.448 -36.2269 14.1517 -19.2961
CapHitB_fl1_187 || 76.6694 116.194 35.1147 -22.6618 33.6765 -2.29831
CapHitB_fl1_188 || 140.069 130.622 126.297 -18.9834 31.2676 26.6795
CapHitB_fl1_189 || 331.025 298.557 95.409 -31.5309 27.6883 -20.7965
CapHitB_fl1_190 || 146.658 152.575 78.7763 -30.6095 11.5642 24.8623
CapHitB_fl1_191 || 96.149 194.861 44.3857 -38.5677 -7.64919 8.39513
