/DIM/ 41.0000	41.0000	41.0000
/MID/ -8.0000	3.0000	-21.0000
/SPACING/ 0.5000
/COM/ -13.3779	1.2274	-17.6977
/RAY/ 1.3331	-2.1827	28.7029	1
/RAY/ 1.3163	-2.1827	28.8247	1
/RAY/ 1.2504	-2.1827	29.3920	1
/RAY/ 1.3127	-2.1932	28.4302	1
/RAY/ 1.2957	-2.1932	28.5619	1
/RAY/ 1.2790	-2.1932	28.7018	1
/RAY/ 1.2459	-2.1932	29.0053	1
/RAY/ 1.2749	-2.2039	28.3144	1
/RAY/ 1.2581	-2.2039	28.4643	1
/RAY/ 1.2414	-2.2039	28.6221	1
/RAY/ 1.2828	-2.0125	37.8791	1
/RAY/ 1.2794	-2.0184	37.4466	1
/RAY/ 1.2759	-2.0245	37.0157	1
/RAY/ 1.2630	-2.0245	37.1641	1
/RAY/ 1.2724	-2.0308	36.5866	1
/RAY/ 1.2593	-2.0308	36.7367	1
/RAY/ 1.6644	-2.0372	34.6739	1
/RAY/ 1.2556	-2.0372	36.3111	1
/RAY/ 1.2425	-2.0372	36.4693	1
/RAY/ 1.6657	-2.0438	34.2300	1
/RAY/ 1.6511	-2.0438	34.1863	1
/RAY/ 1.6365	-2.0438	34.1498	1
/RAY/ 1.2517	-2.0438	35.8875	1
/RAY/ 1.2385	-2.0438	36.0475	1
/RAY/ 1.6374	-2.0506	33.7065	1
/RAY/ 1.6226	-2.0506	33.6769	1
/RAY/ 1.2478	-2.0506	35.4659	1
/RAY/ 1.2345	-2.0506	35.6278	1
/RAY/ 1.6232	-2.0575	33.2348	1
/RAY/ 1.2988	-2.0575	34.4560	1
/RAY/ 1.2849	-2.0575	34.5937	1
/RAY/ 1.2710	-2.0575	34.7380	1
/RAY/ 1.2574	-2.0575	34.8889	1
/RAY/ 1.2438	-2.0575	35.0463	1
/RAY/ 1.2303	-2.0575	35.2101	1
/RAY/ 1.6240	-2.0647	32.7943	1
/RAY/ 1.6087	-2.0647	32.7715	1
/RAY/ 1.3095	-2.0647	33.8987	1
/RAY/ 1.2953	-2.0647	34.0313	1
/RAY/ 1.2397	-2.0647	34.6289	1
/RAY/ 1.2261	-2.0647	34.7947	1
/RAY/ 1.6247	-2.0720	32.3555	1
/RAY/ 1.6092	-2.0720	32.3325	1
/RAY/ 1.5938	-2.0720	32.3171	1
/RAY/ 1.3206	-2.0720	33.3471	1
/RAY/ 1.3061	-2.0720	33.4745	1
/RAY/ 1.6254	-2.0796	31.9186	1
/RAY/ 1.6098	-2.0796	31.8952	1
/RAY/ 1.5941	-2.0796	31.8796	1
/RAY/ 1.3320	-2.0796	32.8015	1
