/DIM/ 29.0000	29.0000	29.0000
/MID/ -15.0000	1.0000	-17.0000
/SPACING/ 0.5000
/COM/ -14.9596	2.0025	-17.5101
/RAY/ 1.3492	-2.3270	31.4262	1
/RAY/ 1.3338	-2.3270	31.5399	1
/RAY/ 1.3184	-2.3270	31.6610	1
/RAY/ 1.3032	-2.3270	31.7896	1
/RAY/ 1.2881	-2.3270	31.9254	1
/RAY/ 1.2731	-2.3270	32.0685	1
/RAY/ 1.2583	-2.3270	32.2187	1
/RAY/ 1.2436	-2.3270	32.3759	1
/RAY/ 1.5880	-2.2070	34.5695	1
/RAY/ 1.3051	-2.2070	35.8213	1
/RAY/ 1.2917	-2.2070	35.9558	1
/RAY/ 1.5882	-2.2157	34.1687	1
/RAY/ 1.3158	-2.2157	35.3052	1
/RAY/ 1.3021	-2.2157	35.4347	1
/RAY/ 1.2886	-2.2157	35.5707	1
/RAY/ 1.5884	-2.2246	33.7705	1
/RAY/ 1.5736	-2.2246	33.7654	1
/RAY/ 1.3268	-2.2246	34.7959	1
/RAY/ 1.3129	-2.2246	34.9200	1
/RAY/ 1.2991	-2.2246	35.0509	1
/RAY/ 1.2854	-2.2246	35.1883	1
/RAY/ 1.5886	-2.2337	33.3751	1
/RAY/ 1.5736	-2.2337	33.3700	1
/RAY/ 1.3240	-2.2337	34.4122	1
/RAY/ 1.3100	-2.2337	34.5378	1
/RAY/ 1.2961	-2.2337	34.6701	1
/RAY/ 1.5888	-2.2431	32.9825	1
/RAY/ 1.5737	-2.2431	32.9773	1
/RAY/ 1.3212	-2.2431	34.0316	1
/RAY/ 1.3070	-2.2431	34.1585	1
/RAY/ 1.5890	-2.2526	32.5929	1
/RAY/ 1.5737	-2.2526	32.5876	1
/RAY/ 1.3184	-2.2526	33.6541	1
/RAY/ 1.3040	-2.2526	33.7824	1
/RAY/ 1.2898	-2.2526	33.9177	1
/RAY/ 1.5737	-2.2624	32.2009	1
/RAY/ 1.5582	-2.2624	32.2033	1
/RAY/ 1.3155	-2.2624	33.2798	1
/RAY/ 1.3010	-2.2624	33.4096	1
/RAY/ 1.2866	-2.2624	33.5464	1
/RAY/ 1.5738	-2.2724	31.8174	1
/RAY/ 1.5580	-2.2724	31.8199	1
/RAY/ 1.2979	-2.2724	33.0401	1
/RAY/ 1.2834	-2.2724	33.1784	1
/RAY/ 1.5579	-2.2827	31.4396	1
/RAY/ 1.5420	-2.2827	31.4501	1
/RAY/ 1.5261	-2.2827	31.4684	1
/RAY/ 1.4944	-2.2827	31.5289	1
/RAY/ 1.4786	-2.2827	31.5710	1
/RAY/ 1.4629	-2.2827	31.6210	1
/RAY/ 1.4160	-2.2827	31.8175	1
/RAY/ 1.2947	-2.2827	32.6741	1
/RAY/ 1.2801	-2.2827	32.8139	1
/RAY/ 1.2655	-2.2827	32.9607	1
/RAY/ 1.5416	-2.2932	31.0734	1
/RAY/ 1.5256	-2.2932	31.0920	1
/RAY/ 1.5095	-2.2932	31.1186	1
/RAY/ 1.4935	-2.2932	31.1532	1
/RAY/ 1.4775	-2.2932	31.1958	1
/RAY/ 1.4616	-2.2932	31.2463	1
/RAY/ 1.4457	-2.2932	31.3048	1
/RAY/ 1.4299	-2.2932	31.3711	1
/RAY/ 1.4141	-2.2932	31.4452	1
/RAY/ 1.3985	-2.2932	31.5271	1
/RAY/ 1.3829	-2.2932	31.6167	1
/RAY/ 1.3674	-2.2932	31.7139	1
/RAY/ 1.2768	-2.2932	32.4531	1
/RAY/ 1.2621	-2.2932	32.6015	1
/RAY/ 1.2475	-2.2932	32.7569	1
/RAY/ 1.3650	-2.3040	31.3483	1
/RAY/ 1.3494	-2.3040	31.4543	1
/RAY/ 1.3034	-2.3040	31.8173	1
/RAY/ 1.2586	-2.3040	32.2460	1
/RAY/ 1.2439	-2.3040	32.4031	1
/RAY/ 1.3468	-2.3150	31.0937	1
/RAY/ 1.3312	-2.3150	31.2086	1
/RAY/ 1.3157	-2.3150	31.3310	1
/RAY/ 1.3003	-2.3150	31.4609	1
/RAY/ 1.2851	-2.3150	31.5982	1
/RAY/ 1.2700	-2.3150	31.7427	1
/RAY/ 1.2550	-2.3150	31.8944	1
/RAY/ 1.2402	-2.3150	32.0533	1
/RAY/ 1.3361	-2.2218	33.9964	1
/RAY/ 1.3334	-2.2311	33.6111	1
/RAY/ 1.5582	-2.2406	32.2772	1
/RAY/ 1.3306	-2.2406	33.2288	1
/RAY/ 1.5581	-2.2503	31.8868	1
/RAY/ 1.5424	-2.2503	31.8971	1
/RAY/ 1.3130	-2.2503	32.9736	1
/RAY/ 1.5579	-2.2603	31.4995	1
/RAY/ 1.5420	-2.2603	31.5099	1
/RAY/ 1.5262	-2.2603	31.5282	1
/RAY/ 1.5104	-2.2603	31.5544	1
/RAY/ 1.3100	-2.2603	32.5992	1
/RAY/ 1.2952	-2.2603	32.7317	1
/RAY/ 1.5578	-2.2705	31.1153	1
/RAY/ 1.5417	-2.2705	31.1259	1
/RAY/ 1.5256	-2.2705	31.1444	1
/RAY/ 1.5096	-2.2705	31.1710	1
/RAY/ 1.4936	-2.2705	31.2056	1
/RAY/ 1.4777	-2.2705	31.2481	1
/RAY/ 1.4618	-2.2705	31.2985	1
/RAY/ 1.4459	-2.2705	31.3569	1
/RAY/ 1.2920	-2.2705	32.3622	1
/RAY/ 1.2772	-2.2705	32.5033	1
/RAY/ 1.5251	-2.2810	30.7640	1
/RAY/ 1.5089	-2.2810	30.7909	1
/RAY/ 1.4927	-2.2810	30.8259	1
/RAY/ 1.4604	-2.2810	30.9200	1
/RAY/ 1.4444	-2.2810	30.9791	1
/RAY/ 1.4284	-2.2810	31.0461	1
/RAY/ 1.4125	-2.2810	31.1210	1
/RAY/ 1.3967	-2.2810	31.2037	1
/RAY/ 1.3809	-2.2810	31.2942	1
